situacao,tipo,conjunto,pt,en,zh_hant,zh_hans,notas_2026
seguranca_social,vocabulário,,a Segurança Social,Social Security,社會保障局,社会保障局,
seguranca_social,vocabulário,,o NISS,social security number (NISS),社會保障號碼（NISS）,社会保障号码（NISS）,Needed to work legally and for benefits
seguranca_social,vocabulário,,pedir o NISS,to apply for a NISS,申請社保號,申请社保号,
seguranca_social,vocabulário,,a Segurança Social Direta,the Social Security online portal,社保線上平台,社保线上平台,
seguranca_social,vocabulário,,os descontos,(social security) contributions,社保供款（扣繳）,社保供款（扣缴）,
seguranca_social,vocabulário,,o trabalhador por conta de outrem,employee (salaried worker),受僱員工,受雇员工,
seguranca_social,vocabulário,,o trabalhador independente,self-employed worker,自僱人士,自雇人士,
seguranca_social,vocabulário,,os recibos verdes,'green receipts' (freelance invoicing),綠色收據（自僱開票制度）,綠色收据（自雇开票制度）,"How cleaners, riders etc. often invoice"
seguranca_social,vocabulário,,o abono de família,family allowance,家庭津貼,家庭津贴,
seguranca_social,vocabulário,,a baixa por doença,paid sick leave,病假津貼,病假津贴,
seguranca_social,vocabulário,,a declaração de situação contributiva,statement of contributions status,供款狀況聲明,供款状况声明,Often requested for AR renewal
seguranca_social,vocabulário,,o comprovativo,proof / receipt (of application),申請憑證,申请憑证,
seguranca_social,script,diálogo 1,"Bom dia, preciso de pedir o NISS para começar a trabalhar.","Good morning, I need to apply for a social security number to start working.",早上好，我需要申請社保號才能開始工作。,早上好，我需要申请社保号才能开始工作。,
seguranca_social,script,diálogo 1,Tem contrato de trabalho ou promessa de contrato?,Do you have a work contract or a contract offer?,您有勞動合同或錄用意向書嗎？,您有劳动合同或录用意向书吗？,
seguranca_social,script,diálogo 1,Tenho o contrato assinado pela empresa.,I have the contract signed by the company.,我有公司簽好的合同。,我有公司签好的合同。,
seguranca_social,script,diálogo 1,Então junte o passaporte e o comprovativo de morada a este formulário.,Then attach your passport and proof of address to this form.,那請把護照和住址證明附在這張表格上。,那请把护照和住址证明附在这张表格上。,
seguranca_social,script,diálogo 1,Quanto tempo demora a atribuição?,How long does it take to be issued?,多久能發下來？,多久能发下來？,
seguranca_social,script,diálogo 1,Alguns dias. Recebe o NISS por email ou carta. Guarde o comprovativo.,A few days. You'll receive the NISS by email or post. Keep the receipt.,幾天。社保號會通過郵件或信件發給您。請保存好憑證。,几天。社保号会通过邮件或信件发给您。请保存好憑证。,
seguranca_social,script,diálogo 1,Depois posso aceder à Segurança Social Direta?,Can I then access the online portal?,之後我可以登入社保線上平台嗎？,之后我可以登入社保线上平台吗？,
seguranca_social,script,diálogo 1,"Sim, regista-se online com o NISS e recebe a senha em casa.","Yes, you register online with your NISS and receive the password at home.",可以，用社保號在線註冊，密碼會寄到家裡。,可以，用社保号在线註册，密码会寄到家里。,
seguranca_social,cheat_sheet,,Venho pedir o NISS — tenho contrato de trabalho.,I'm here to apply for a NISS — I have a work contract.,我來申請社保號——我有勞動合同。,我來申请社保号——我有劳动合同。,
seguranca_social,cheat_sheet,,Trago passaporte e comprovativo de morada.,I have my passport and proof of address.,我帶了護照和住址證明。,我带了护照和住址证明。,
seguranca_social,cheat_sheet,,Preciso de uma declaração de situação contributiva.,I need a statement of my contributions status.,我需要一份供款狀況聲明。,我需要一份供款状况声明。,
seguranca_social,cheat_sheet,,Trabalho a recibos verdes.,I work freelance (green receipts).,我是開綠色收據的自僱人士。,我是开綠色收据的自雇人士。,
seguranca_social,cheat_sheet,,Como peço o abono de família?,How do I apply for the family allowance?,家庭津貼怎麼申請？,家庭津贴怎么申请？,
arrendamento,vocabulário,,arrendar um quarto / um apartamento,to rent a room / a flat,租一個房間／一套公寓,租一个房间／一套公寓,
arrendamento,vocabulário,,o T0 / T1 / T2,studio / 1-bed / 2-bed flat,開間／一房／兩房公寓,开间／一房／两房公寓,T = number of bedrooms
arrendamento,vocabulário,,o senhorio / a senhoria,landlord / landlady,房東,房东,
arrendamento,vocabulário,,o inquilino / a inquilina,tenant,房客,房客,
arrendamento,vocabulário,,a renda,the rent,租金,租金,
arrendamento,vocabulário,,a caução,deposit,押金,押金,Usually 1–2 months' rent
arrendamento,vocabulário,,o fiador,guarantor,擔保人,担保人,Often asked of newcomers without payslips
arrendamento,vocabulário,,o contrato de arrendamento,rental contract,租賃合同,租赁合同,Needed as proof of address everywhere
arrendamento,vocabulário,,o recibo de renda (eletrónico),(electronic) rent receipt,（電子）租金收據,（电子）租金收据,Ask for it — proves address and protects you
arrendamento,vocabulário,,despesas incluídas,bills included,包水電雜費,包水电杂费,
arrendamento,vocabulário,,mobilado / sem mobília,furnished / unfurnished,帶傢俬／不帶傢俬,带家私／不带家私,
arrendamento,vocabulário,,o condomínio,building service charge,大廈管理費,大厦管理费,
arrendamento,vocabulário,,rescindir o contrato,to terminate the contract,解除合同,解除合同,
arrendamento,vocabulário,,a visita (ao imóvel),viewing,看房,看房,
arrendamento,script,diálogo 1,"Boa tarde, venho ver o T1 anunciado. Ainda está disponível?","Good afternoon, I've come to see the advertised one-bed flat. Is it still available?",下午好，我來看廣告上的一房公寓。還在出租嗎？,下午好，我來看广告上的一房公寓。还在出租吗？,
arrendamento,script,diálogo 1,"Está, sim. A renda é de 850 euros, com um mês de caução.","It is. The rent is 850 euros, with one month's deposit.",還在。租金850歐元，押金一個月。,还在。租金850欧元，押金一个月。,
arrendamento,script,diálogo 1,As despesas estão incluídas?,Are bills included?,包水電雜費嗎？,包水电杂费吗？,
arrendamento,script,diálogo 1,A água sim; a luz e a internet são à parte.,Water yes; electricity and internet are separate.,包水費；電費和網費另算。,包水费；电费和网费另算。,
arrendamento,script,diálogo 1,Precisa de fiador? Ainda não tenho recibos de vencimento cá.,Do you need a guarantor? I don't have payslips here yet.,需要擔保人嗎？我在這裡還沒有工資單。,需要担保人吗？我在这里还没有工资单。,
arrendamento,script,diálogo 1,"Nesse caso pedia dois meses de caução, com contrato e recibos de renda.","In that case I'd ask for two months' deposit, with a contract and rent receipts.",那樣的話押金要兩個月，會簽合同、開租金收據。,那样的话押金要两个月，会签合同、开租金收据。,
arrendamento,script,diálogo 1,Combinado. Quando posso assinar o contrato?,Agreed. When can I sign the contract?,可以。什麼時候可以簽合同？,可以。什么时候可以签合同？,
arrendamento,cheat_sheet,,Vi o anúncio — posso marcar uma visita?,I saw the listing — can I book a viewing?,我看到了廣告——可以約看房嗎？,我看到了广告——可以约看房吗？,
arrendamento,cheat_sheet,,A renda inclui despesas?,Does the rent include bills?,租金包水電雜費嗎？,租金包水电杂费吗？,
arrendamento,cheat_sheet,,Quanto é a caução?,How much is the deposit?,押金是多少？,押金是多少？,
arrendamento,cheat_sheet,,Faz contrato e recibos de renda?,Do you provide a contract and rent receipts?,會簽合同、開租金收據嗎？,会签合同、开租金收据吗？,
arrendamento,cheat_sheet,,Preciso do contrato como comprovativo de morada.,I need the contract as proof of address.,我需要合同做住址證明。,我需要合同做住址证明。,
arrendamento,cheat_sheet,,Com quanto tempo devo avisar antes de sair?,How much notice must I give before leaving?,退租前需要提前多久通知？,退租前需要提前多久通知？,
transportes,vocabulário,,o passe (navegante),travel pass (navegante),月票（navegante卡）,月票（navegante卡）,Lisbon area system; Porto uses Andante
transportes,vocabulário,,carregar o passe,to top up the pass,給月票充值,给月票充值,
transportes,vocabulário,,validar o bilhete,to validate the ticket,打卡驗票,打卡验票,Always validate — fines are heavy
transportes,vocabulário,,a máquina de venda,ticket machine,售票機,售票机,
transportes,vocabulário,,a carreira / a linha,bus route / line,公交線路,公交线路,
transportes,vocabulário,,a paragem,stop,車站（站點）,车站（站点）,
transportes,vocabulário,,a estação,station,車站（火車/地鐵站）,车站（火车/地铁站）,
transportes,vocabulário,,o fiscal,ticket inspector,查票員,查票员,
transportes,vocabulário,,a multa,fine,罰款,罚款,
transportes,vocabulário,,o horário,timetable,時刻表,时刻表,
transportes,vocabulário,,a zona,fare zone,票價區,票价区,
transportes,vocabulário,,o elétrico,tram,有軌電車,有轨电车,
transportes,script,diálogo 1,"Boa tarde, queria fazer o passe navegante.","Good afternoon, I'd like to get a navegante pass.",下午好，我想辦一張navegante月票。,下午好，我想办一张navegante月票。,
transportes,script,diálogo 1,Precisa de uma fotografia e de um documento de identificação.,You need a photo and an ID document.,需要一張照片和一份身份證件。,需要一张照片和一份身份证件。,
transportes,script,diálogo 1,Posso carregar o passe mensal já hoje?,Can I load the monthly pass today?,今天就可以充值月票嗎？,今天就可以充值月票吗？,
transportes,script,diálogo 1,"Sim, na máquina ou aqui ao balcão.","Yes, at the machine or here at the counter.",可以，在售票機或這個櫃檯都行。,可以，在售票机或这个柜台都行。,
transportes,script,diálogo 1,Este autocarro vai para o centro?,Does this bus go to the city centre?,這班公交去市中心嗎？,这班公交去市中心吗？,
transportes,script,diálogo 1,"Vai, sim. Não se esqueça de validar o cartão ao entrar.",It does. Don't forget to validate your card when boarding.,去的。上車別忘了打卡。,去的。上车別忘了打卡。,
transportes,script,diálogo 1,Onde fica a paragem para o sentido contrário?,Where is the stop for the opposite direction?,反方向的車站在哪裡？,反方向的车站在哪里？,
transportes,cheat_sheet,,"Queria fazer o passe, por favor.","I'd like to get a travel pass, please.",我想辦一張月票，麻煩您。,我想办一张月票，麻煩您。,
transportes,cheat_sheet,,Queria carregar o passe mensal.,I'd like to top up the monthly pass.,我想給月票充值。,我想给月票充值。,
transportes,cheat_sheet,,Este autocarro / metro vai para…?,Does this bus / metro go to…?,這班公交／地鐵去……嗎？,这班公交／地铁去……吗？,
transportes,cheat_sheet,,Onde valido o bilhete?,Where do I validate the ticket?,在哪裡打卡驗票？,在哪里打卡验票？,
transportes,cheat_sheet,,A que horas passa o último?,What time is the last one?,末班車幾點？,末班车几点？,
trabalho_hotelaria,vocabulário,,o turno (da manhã / da tarde / da noite),shift (morning / afternoon / night),班次（早班／午班／夜班）,班次（早班／午班／夜班）,
trabalho_hotelaria,vocabulário,,a governanta,head housekeeper,客房部主管,客房部主管,
trabalho_hotelaria,vocabulário,,arrumar os quartos,to make up the rooms,整理客房,整理客房,
trabalho_hotelaria,vocabulário,,mudar os lençóis / as toalhas,to change the sheets / towels,更換床單／毛巾,更换床单／毛巾,
trabalho_hotelaria,vocabulário,,o carrinho de limpeza,housekeeping cart,清潔工作車,清洁工作车,
trabalho_hotelaria,vocabulário,,o hóspede,guest,住客,住客,
trabalho_hotelaria,vocabulário,,a receção,reception / front desk,前台,前台,
trabalho_hotelaria,vocabulário,,o check-in / o check-out,check-in / check-out,入住／退房,入住／退房,
trabalho_hotelaria,vocabulário,,o cartão do quarto,room key card,房卡,房卡,
trabalho_hotelaria,vocabulário,,a folga,day off,休息日,休息日,
trabalho_hotelaria,vocabulário,,as horas extra,overtime,加班,加班,
trabalho_hotelaria,vocabulário,,o uniforme,uniform,制服,制服,
trabalho_hotelaria,vocabulário,,o andar,floor (storey),樓層,楼层,
trabalho_hotelaria,script,diálogo 1,Bom dia! Hoje fazes os quartos do terceiro andar.,Good morning! Today you're doing the third-floor rooms.,早上好！今天你負責三樓的客房。,早上好！今天你负责三楼的客房。,
trabalho_hotelaria,script,diálogo 1,Está bem. Quantos check-outs há?,Alright. How many check-outs are there?,好的。有幾間退房？,好的。有几间退房？,
trabalho_hotelaria,script,diálogo 1,Seis. Os quartos 302 e 305 são só arrumação.,Six. Rooms 302 and 305 are tidy-up only.,六間。302和305只需整理。,六间。302和305只需整理。,
trabalho_hotelaria,script,diálogo 1,Faltam toalhas no carrinho — onde vou buscar?,The cart is out of towels — where do I get more?,工作車上毛巾不夠了——去哪裡拿？,工作车上毛巾不够了——去哪里拿？,
trabalho_hotelaria,script,diálogo 1,"Na rouparia, ao fundo do corredor.","In the linen room, at the end of the corridor.",在走廊盡頭的布草房。,在走廊尽头的布草房。,
trabalho_hotelaria,script,diálogo 1,Um hóspede pediu mais uma almofada para o 310.,A guest asked for an extra pillow for room 310.,有位住客要求給310房加一個枕頭。,有位住客要求给310房加一个枕头。,
trabalho_hotelaria,script,diálogo 1,"Eu levo. A tua folga esta semana é na quinta, pode ser?","I'll take it. Your day off this week is Thursday, is that okay?",我送過去。你這週四休息，可以嗎？,我送过去。你这周四休息，可以吗？,
trabalho_hotelaria,cheat_sheet,,A que horas começa o meu turno?,What time does my shift start?,我的班幾點開始？,我的班几点开始？,
trabalho_hotelaria,cheat_sheet,,O quarto está pronto.,The room is ready.,房間已經整理好了。,房间已经整理好了。,
trabalho_hotelaria,cheat_sheet,,Faltam toalhas / lençóis / amenities.,We're out of towels / sheets / amenities.,毛巾／床單／客用品不夠了。,毛巾／床单／客用品不够了。,
trabalho_hotelaria,cheat_sheet,,O hóspede do [n.º] pediu…,The guest in [room no.] asked for…,[房號]的住客要求……,[房号]的住客要求……,
trabalho_hotelaria,cheat_sheet,,Posso trocar a folga esta semana?,Can I swap my day off this week?,這週的休息日可以調換嗎？,这周的休息日可以调换吗？,
trabalho_hotelaria,cheat_sheet,,Fiz duas horas extra hoje.,I did two hours of overtime today.,我今天加了兩個小時的班。,我今天加了两个小时的班。,
trabalho_restauracao,vocabulário,,o empregado / a empregada de mesa,waiter / waitress,服務員,服务员,
trabalho_restauracao,vocabulário,,o ajudante de cozinha,kitchen assistant,廚房幫工,厨房帮工,
trabalho_restauracao,vocabulário,,a ementa / o menu,menu,菜單,菜单,
trabalho_restauracao,vocabulário,,o prato do dia,dish of the day,今日特餐,今日特餐,
trabalho_restauracao,vocabulário,,anotar o pedido,to take the order,記錄點單,记录点单,
trabalho_restauracao,vocabulário,,a esplanada,outdoor terrace,露天座位,露天座位,
trabalho_restauracao,vocabulário,,o balcão,the counter / bar,吧台／櫃檯,吧台／柜台,
trabalho_restauracao,vocabulário,,os talheres / o guardanapo,cutlery / napkin,餐具／餐巾,餐具／餐巾,
trabalho_restauracao,vocabulário,,a conta,the bill,賬單,账单,
trabalho_restauracao,vocabulário,,a gorjeta,tip,小費,小费,
trabalho_restauracao,vocabulário,,lavar a loiça,to wash the dishes,洗碗,洗碗,
trabalho_restauracao,vocabulário,,a comanda,order slip,點菜單,点菜单,
trabalho_restauracao,vocabulário,,Bom proveito!,Enjoy your meal!,請慢用！,请慢用！,
trabalho_restauracao,script,diálogo 1,Boa tarde! Mesa para dois?,Good afternoon! Table for two?,下午好！兩位嗎？,下午好！两位吗？,
trabalho_restauracao,script,diálogo 1,Posso anotar o pedido?,May I take your order?,可以點單了嗎？,可以点单了吗？,
trabalho_restauracao,script,diálogo 1,O que é o prato do dia?,What's the dish of the day?,今日特餐是什麼？,今日特餐是什么？,
trabalho_restauracao,script,diálogo 1,Hoje é bacalhau à Brás. Vem com salada.,Today it's cod 'à Brás'. It comes with salad.,今天是布拉斯式馬介休，配沙拉。,今天是布拉斯式马介休，配沙拉。,
trabalho_restauracao,script,diálogo 1,Marchar duas doses de bacalhau para a mesa cinco!,"Two portions of cod for table five, fire away!",五號桌兩份馬介休，起菜！,五号桌两份马介休，起菜！,
trabalho_restauracao,script,diálogo 1,"A conta, por favor. — Com certeza, já trago.","The bill, please. — Of course, right away.",麻煩結賬。——好的，馬上來。,麻煩结账。——好的，马上來。,
trabalho_restauracao,script,diálogo 1,Podes fechar a esplanada e limpar as mesas?,Can you close the terrace and clean the tables?,你可以收露天座位、擦一下桌子嗎？,你可以收露天座位、擦一下桌子吗？,
trabalho_restauracao,cheat_sheet,,Bem-vindos! Mesa para quantas pessoas?,Welcome! A table for how many?,歡迎光臨！幾位？,欢迎光临！几位？,
trabalho_restauracao,cheat_sheet,,Posso anotar o pedido?,May I take your order?,可以點單了嗎？,可以点单了吗？,
trabalho_restauracao,cheat_sheet,,Recomendo o prato do dia.,I recommend the dish of the day.,我推薦今日特餐。,我推荐今日特餐。,
trabalho_restauracao,cheat_sheet,,Bom proveito!,Enjoy your meal!,請慢用！,请慢用！,
trabalho_restauracao,cheat_sheet,,Desejam mais alguma coisa?,Would you like anything else?,還需要別的嗎？,还需要別的吗？,
trabalho_restauracao,cheat_sheet,,Aqui está a conta. Pagam junto ou separado?,Here's the bill. Together or separately?,這是賬單。一起付還是分開付？,这是账单。一起付还是分开付？,
trabalho_limpezas,vocabulário,,a empregada / o empregado de limpeza,cleaner,清潔工,清洁工,
trabalho_limpezas,vocabulário,,o produto de limpeza,cleaning product,清潔劑,清洁剂,
trabalho_limpezas,vocabulário,,a lixívia,bleach,漂白水,漂白水,
trabalho_limpezas,vocabulário,,a esfregona e o balde,mop and bucket,拖把和水桶,拖把和水桶,
trabalho_limpezas,vocabulário,,aspirar,to vacuum,吸塵,吸塵,
trabalho_limpezas,vocabulário,,limpar o pó,to dust,擦灰塵,擦灰塵,
trabalho_limpezas,vocabulário,,esfregar o chão,to mop/scrub the floor,拖地／擦地,拖地／擦地,
trabalho_limpezas,vocabulário,,o lixo / a reciclagem,rubbish / recycling,垃圾／回收,垃圾／回收,
trabalho_limpezas,vocabulário,,as luvas,gloves,手套,手套,
trabalho_limpezas,vocabulário,,à hora / por horas,paid by the hour,按小時計酬,按小时计酬,
trabalho_limpezas,vocabulário,,a patroa / o patrão,employer (informal),僱主（東家）,雇主（东家）,
trabalho_limpezas,vocabulário,,os recibos verdes,freelance receipts,綠色收據（自僱開票）,綠色收据（自雇开票）,Very common in domestic cleaning
trabalho_limpezas,script,diálogo 1,Bom dia. Procuro alguém para limpezas duas vezes por semana.,Good morning. I'm looking for someone to clean twice a week.,早上好。我想找人一週打掃兩次。,早上好。我想找人一周打扫两次。,
trabalho_limpezas,script,diálogo 1,Eu tenho disponibilidade às terças e sextas de manhã.,I'm available Tuesday and Friday mornings.,我週二和週五上午有空。,我周二和周五上午有空。,
trabalho_limpezas,script,diálogo 1,Quanto cobra à hora?,How much do you charge per hour?,您每小時收多少錢？,您每小时收多少钱？,
trabalho_limpezas,script,diálogo 1,"Doze euros à hora, com recibo verde.","Twelve euros an hour, with a freelance receipt.",每小時十二歐元，開綠色收據。,每小时十二欧元，开綠色收据。,
trabalho_limpezas,script,diálogo 1,Está bem. O material de limpeza fica cá em casa.,Alright. The cleaning supplies are kept here at the house.,好的。清潔用品放在家裡。,好的。清洁用品放在家里。,
trabalho_limpezas,script,diálogo 1,Prefere que aspire primeiro e depois esfregue o chão?,Do you prefer I vacuum first and then mop?,您希望我先吸塵再拖地嗎？,您希望我先吸塵再拖地吗？,
trabalho_limpezas,script,diálogo 1,"Sim, e atenção: não use lixívia no chão de madeira.","Yes, and careful: don't use bleach on the wooden floor.",對，注意：木地板不要用漂白水。,对，注意：木地板不要用漂白水。,
trabalho_limpezas,cheat_sheet,,Cobro X euros à hora.,I charge X euros per hour.,我每小時收X歐元。,我每小时收X欧元。,
trabalho_limpezas,cheat_sheet,,Passo recibo verde.,I issue a freelance receipt.,我開綠色收據。,我开綠色收据。,
trabalho_limpezas,cheat_sheet,,Tenho disponibilidade às [dias] de [manhã/tarde].,I'm available on [days] in the [morning/afternoon].,我[星期幾][上午/下午]有空。,我[星期几][上午/下午]有空。,
trabalho_limpezas,cheat_sheet,,O material fica em casa ou trago eu?,Are supplies kept at the house or do I bring them?,清潔用品放在家裡還是我自帶？,清洁用品放在家里还是我自带？,
trabalho_limpezas,cheat_sheet,,Terminei — está tudo limpo.,I'm done — everything is clean.,做完了——都打掃乾淨了。,做完了——都打扫干净了。,
trabalho_construcao,vocabulário,,a obra / o estaleiro,building site,工地,工地,
trabalho_construcao,vocabulário,,o servente,labourer,小工（雜工）,小工（杂工）,
trabalho_construcao,vocabulário,,o pedreiro,bricklayer / mason,泥瓦工,泥瓦工,
trabalho_construcao,vocabulário,,o encarregado da obra,site foreman,工地領班,工地领班,
trabalho_construcao,vocabulário,,o capacete,hard hat,安全帽,安全帽,
trabalho_construcao,vocabulário,,as botas de proteção,safety boots,安全鞋,安全鞋,
trabalho_construcao,vocabulário,,o colete refletor,hi-vis vest,反光背心,反光背心,
trabalho_construcao,vocabulário,,o EPI (equipamento de proteção individual),PPE (personal protective equipment),個人防護裝備,个人防护装備,Mandatory; refusing unsafe work is your right
trabalho_construcao,vocabulário,,o andaime,scaffolding,腳手架,腳手架,
trabalho_construcao,vocabulário,,o cimento / o betão,cement / concrete,水泥／混凝土,水泥／混凝土,
trabalho_construcao,vocabulário,,o tijolo,brick,磚,砖,
trabalho_construcao,vocabulário,,a betoneira,cement mixer,攪拌機,搅拌机,
trabalho_construcao,vocabulário,,o contrato de trabalho,work contract,勞動合同,劳动合同,Insist on one — protects wages and NISS
trabalho_construcao,script,diálogo 1,Bom dia. Hoje ficas a ajudar o pedreiro no segundo piso.,Good morning. Today you're helping the mason on the second floor.,早上好。今天你在二樓給泥瓦工打下手。,早上好。今天你在二楼给泥瓦工打下手。,
trabalho_construcao,script,diálogo 1,Entendido. Onde estão os capacetes?,Understood. Where are the hard hats?,明白。安全帽在哪裡？,明白。安全帽在哪里？,
trabalho_construcao,script,diálogo 1,No contentor. O EPI é obrigatório em toda a obra.,In the container. PPE is mandatory on the whole site.,在集裝箱裡。整個工地都必須穿戴防護裝備。,在集装箱里。整个工地都必须穿戴防护装備。,
trabalho_construcao,script,diálogo 1,Precisamos de mais cimento para a betoneira.,We need more cement for the mixer.,攪拌機需要再加水泥。,搅拌机需要再加水泥。,
trabalho_construcao,script,diálogo 1,Cuidado com o andaime — ainda não está fixo.,Careful with the scaffolding — it's not secured yet.,小心腳手架——還沒固定好。,小心腳手架——还没固定好。,
trabalho_construcao,script,diálogo 1,A que horas é a pausa para almoço?,What time is the lunch break?,午飯休息是幾點？,午饭休息是几点？,
trabalho_construcao,script,diálogo 1,Ao meio-dia. E não te esqueças de assinar a folha de presença.,At noon. And don't forget to sign the attendance sheet.,中午十二點。別忘了在考勤表上簽名。,中午十二点。別忘了在考勤表上签名。,
trabalho_construcao,cheat_sheet,,Onde está o meu EPI?,Where's my PPE?,我的防護裝備在哪裡？,我的防护装備在哪里？,
trabalho_construcao,cheat_sheet,,Isto não é seguro — o andaime não está fixo.,This isn't safe — the scaffolding isn't secured.,這不安全——腳手架沒固定。,这不安全——腳手架没固定。,
trabalho_construcao,cheat_sheet,,Preciso de mais cimento / tijolos.,We need more cement / bricks.,需要再來些水泥／磚。,需要再來些水泥／砖。,
trabalho_construcao,cheat_sheet,,A que horas é a pausa?,What time is the break?,休息是幾點？,休息是几点？,
trabalho_construcao,cheat_sheet,,Quando assinamos o contrato de trabalho?,When do we sign the work contract?,什麼時候簽勞動合同？,什么时候签劳动合同？,
trabalho_construcao,cheat_sheet,,Magoei-me — preciso do kit de primeiros socorros.,I've hurt myself — I need the first-aid kit.,我受傷了——需要急救箱。,我受伤了——需要急救箱。,
trabalho_entregas,vocabulário,,o estafeta,delivery rider/courier,外賣員／快遞員,外卖员／快递员,
trabalho_entregas,vocabulário,,a entrega,delivery,配送,配送,
trabalho_entregas,vocabulário,,o pedido,the order,訂單,订单,
trabalho_entregas,vocabulário,,a mochila térmica,thermal delivery bag,保溫配送箱,保溫配送箱,
trabalho_entregas,vocabulário,,a aplicação / a app,the app,應用程式,应用程式,
trabalho_entregas,vocabulário,,a morada,address,地址,地址,
trabalho_entregas,vocabulário,,o código da porta,door/entry code,門禁密碼,门禁密码,
trabalho_entregas,vocabulário,,o interfone / a campainha,intercom / doorbell,對講機／門鈴,对讲机／门鈴,
trabalho_entregas,vocabulário,,ligar ao cliente,to call the customer,給顧客打電話,给顾客打电话,
trabalho_entregas,vocabulário,,o rés-do-chão / o andar,ground floor / floor,一樓（地面層）／樓層,一楼（地面层）／楼层,
trabalho_entregas,vocabulário,,a mota / a bicicleta,motorbike / bicycle,摩托車／自行車,摩托车／自行车,
trabalho_entregas,vocabulário,,o trânsito,traffic,交通（堵車）,交通（堵车）,
trabalho_entregas,script,diálogo 1,"Boa noite, tenho uma entrega para o João.","Good evening, I have a delivery for João.",晚上好，有João的外賣。,晚上好，有João的外卖。,
trabalho_entregas,script,diálogo 1,É no terceiro andar. O código da porta é 1530.,It's on the third floor. The door code is 1530.,在三樓。門禁密碼是1530。,在三楼。门禁密码是1530。,
trabalho_entregas,script,diálogo 1,O interfone não funciona — pode descer para levantar o pedido?,The intercom isn't working — can you come down to collect the order?,對講機壞了——您可以下來取餐嗎？,对讲机坏了——您可以下來取餐吗？,
trabalho_entregas,script,diálogo 1,"Estou na entrada, com a mochila vermelha.","I'm at the entrance, with the red delivery bag.",我在門口，背紅色保溫箱。,我在门口，背紅色保溫箱。,
trabalho_entregas,script,diálogo 1,"Desculpe o atraso, havia muito trânsito.","Sorry for the delay, there was a lot of traffic.",抱歉來晚了，路上很堵。,抱歉來晚了，路上很堵。,
trabalho_entregas,script,diálogo 1,"Confirma o pedido na app, por favor. Boa noite!",Please confirm the order in the app. Good night!,請在應用裡確認收餐。晚安！,请在应用里确认收餐。晚安！,
trabalho_entregas,cheat_sheet,,Tenho uma entrega para [nome].,I have a delivery for [name].,有[姓名]的外賣。,有[姓名]的外卖。,
trabalho_entregas,cheat_sheet,,Qual é o código da porta?,What's the door code?,門禁密碼是多少？,门禁密码是多少？,
trabalho_entregas,cheat_sheet,,Pode descer para levantar o pedido?,Can you come down to collect the order?,您可以下來取餐嗎？,您可以下來取餐吗？,
trabalho_entregas,cheat_sheet,,Estou na entrada do prédio.,I'm at the building entrance.,我在樓門口。,我在楼门口。,
trabalho_entregas,cheat_sheet,,Desculpe o atraso — muito trânsito.,Sorry for the delay — heavy traffic.,抱歉來晚了——路上很堵。,抱歉來晚了——路上很堵。,
banco,vocabulário,,a conta poupança,savings account,儲蓄帳戶,储蓄账户,
banco,vocabulário,,o empréstimo,loan,貸款,貸款,
banco,vocabulário,,o crédito habitação,mortgage,房屋貸款,房屋貸款,
banco,vocabulário,,a taxa de juro,interest rate,利率,利率,
banco,vocabulário,,a prestação,monthly instalment,每月分期還款,每月分期还款,
banco,vocabulário,,o MB Way,MB Way (mobile payment app),MB Way（手機支付應用）,MB Way（手机支付应用）,Ubiquitous in PT; ask the bank to activate it
banco,vocabulário,,o multibanco / a caixa automática,ATM,自動櫃員機（ATM）,自动柜员机（ATM）,
banco,vocabulário,,o talão,receipt slip (from ATM),（櫃員機）憑條,（柜员机）憑条,
banco,vocabulário,,o movimento,account transaction,帳戶交易記錄,账户交易记录,
banco,vocabulário,,o débito direto,direct debit,自動扣款,自动扣款,How utilities are usually paid
banco,vocabulário,,a transferência imediata,instant transfer,即時轉帳,即时转账,
banco,vocabulário,,o pagamento sem contacto / contactless,contactless payment,感應式支付,感应式支付,
banco,vocabulário,,o limite de levantamento,withdrawal limit,提款限額,提款限额,
banco,vocabulário,,bloquear o cartão,to block the card,掛失／凍結銀行卡,挂失／冻结银行卡,
banco,vocabulário,,o cartão foi retido,the card was retained (by the ATM),卡被櫃員機吞了,卡被柜员机吞了,
banco,vocabulário,,a assinatura,signature,簽名,签名,
banco,vocabulário,,o gestor de conta,account manager,客戶經理,客户经理,
banco,vocabulário,,a agência / o balcão,branch / counter,分行／櫃檯,分行／柜台,
banco,vocabulário,,a comissão,fee / charge,手續費,手续费,
banco,vocabulário,,levantar sem cartão (MB Way),cardless withdrawal,無卡提款,无卡提款,
banco,script,diálogo 2,"Boa tarde, o multibanco reteve o meu cartão.","Good afternoon, the ATM retained my card.",下午好，櫃員機把我的卡吞了。,下午好，柜员机把我的卡吞了。,
banco,script,diálogo 2,Foi nesta agência? Tem um documento de identificação?,Was it at this branch? Do you have ID?,是在這家分行嗎？您有身份證件嗎？,是在这家分行吗？您有身份证件吗？,
banco,script,diálogo 2,"Foi, sim. Aqui está o meu título de residência.","Yes, it was. Here's my residence permit.",是的。這是我的居留證。,是的。这是我的居留证。,
