scenario,section,order,speaker,pt,en,zh_hant,zh_hans,example_pt,example_zh_hant,example_zh_hans
Vizinhos,vocabulario,17,,a encomenda,package,包裹,包裹,Chegou uma encomenda para ti.,有你的一個包裹。,有你的一个包裹。
Vizinhos,vocabulario,18,,o favor,favor,幫忙,帮忙,Preciso de um favor.,我需要幫個忙。,我需要帮个忙。
Vizinhos,vocabulario,19,,emprestar,to lend,借,借,Emprestas-me um pouco de sal?,能借我一點鹽嗎？,能借我一点盐吗？
Vizinhos,vocabulario,20,,regar,to water,澆水,浇水,Rego as plantas à noite.,我晚上澆花。,我晚上浇花。
Vizinhos,vocabulario,21,,a chave,key,鑰匙,钥匙,Deixo a chave ao vizinho.,我把鑰匙留給鄰居。,我把钥匙留给邻居。
Vizinhos,vocabulario,22,,a garagem,garage,車庫,车库,O carro está na garagem.,車在車庫裡。,车在车库里。
Vizinhos,vocabulario,23,,o lugar de estacionamento,parking spot,停車位,停车位,O meu lugar é o dez.,我的車位是十號。,我的车位是十号。
Vizinhos,vocabulario,24,,a caixa do correio,mailbox,信箱,信箱,Vê a caixa do correio.,看一下信箱。,看一下信箱。
Vizinhos,vocabulario,25,,avariado,out of order,故障,故障,O elevador está avariado.,電梯故障了。,电梯故障了。
Vizinhos,vocabulario,26,,a mudança,move (house move),搬家,搬家,A mudança é no sábado.,週六搬家。,周六搬家。
Vizinhos,vocabulario,27,,mudar-se,to move (house),搬家,搬家,Mudámo-nos em janeiro.,我們一月搬的家。,我们一月搬的家。
Vizinhos,vocabulario,28,,cumprimentar,to greet,打招呼,打招呼,Cumprimento sempre a vizinha.,我總是跟鄰居打招呼。,我总是跟邻居打招呼。
Vizinhos,vocabulario,29,,o administrador,building manager,管理員,管理员,Falei com o administrador.,我跟管理員談過了。,我跟管理员谈过了。
Vizinhos,vocabulario,30,,a campainha,doorbell,門鈴,门铃,Tocaram à campainha.,有人按了門鈴。,有人按了门铃。
Vizinhos,dialogo,1,A,"Olá, bom dia. Sou o seu vizinho novo.","Hello, good morning. I'm your new neighbor.",您好，早安。我是新鄰居。,您好，早上好。我是新邻居。,,,
Vizinhos,dialogo,2,B,"Ah, bem-vindo ao prédio!","Ah, welcome to the building!",啊，歡迎搬來！,啊，欢迎搬来！,,,
Vizinhos,dialogo,3,A,Obrigado. Mudei-me na semana passada.,Thanks. I moved in last week.,謝謝。我上週搬來的。,谢谢。我上周搬来的。,,,
Vizinhos,dialogo,4,B,Precisa de alguma coisa?,Do you need anything?,需要什麼幫忙嗎？,需要什么帮忙吗？,,,
Vizinhos,dialogo,5,A,"Sim, onde fica o contentor da reciclagem?","Yes, where's the recycling container?",回收箱在哪裡？,回收箱在哪里？,,,
Vizinhos,dialogo,6,B,"Ao fundo da rua, à esquerda.","At the end of the street, on the left.",街尾左邊。,街尾左边。,,,
Vizinhos,dialogo,7,A,"E o lixo, quando é recolhido?","And the trash, when is it collected?",垃圾什麼時候收？,垃圾什么时候收？,,,
Vizinhos,dialogo,8,B,"Todos os dias, à noite.","Every day, at night.",每天晚上。,每天晚上。,,,
Vizinhos,dialogo,9,A,O elevador está avariado?,Is the elevator out of order?,電梯壞了嗎？,电梯坏了吗？,,,
Vizinhos,dialogo,10,B,"Está, já chamámos o técnico.","It is, we've already called the technician.",是的，已經叫人修了。,是的，已经叫人修了。,,,
Vizinhos,dialogo,11,A,Posso pedir-lhe um favor?,Can I ask you a favor?,能請您幫個忙嗎？,能请您帮个忙吗？,,,
Vizinhos,dialogo,12,B,"Claro, diga.","Of course, go ahead.",當然，請說。,当然，请说。,,,
Vizinhos,dialogo,13,A,Pode receber uma encomenda amanhã?,Can you take in a package tomorrow?,明天能幫我收包裹嗎？,明天能帮我收包裹吗？,,,
Vizinhos,dialogo,14,B,"Com certeza, deixo-a à sua porta.","Certainly, I'll leave it at your door.",沒問題，我放您門口。,没问题，我放您门口。,,,
Vizinhos,dialogo,15,A,"Muito obrigado. Qualquer barulho, avise-me.","Thank you. If I'm ever noisy, let me know.",謝謝。太吵的話請告訴我。,谢谢。太吵的话请告诉我。,,,
Vizinhos,dialogo,16,B,Fique descansado. Boa mudança!,Don't worry. Happy moving!,放心。祝喬遷順利！,放心。祝乔迁顺利！,,,
Vizinhos,cartao,1,,Sou o seu vizinho novo.,I'm your new neighbor.,我是新鄰居。,我是新邻居。,,,
Vizinhos,cartao,2,,Desculpe o barulho.,Sorry about the noise.,抱歉吵到您了。,抱歉吵到您了。,,,
Vizinhos,cartao,3,,"Pode falar mais baixo, por favor?","Could you keep it down, please?",可以小聲一點嗎？,可以小声一点吗？,,,
Vizinhos,cartao,4,,"O barulho incomoda, é tarde.","The noise is bothering us, it's late.",太晚了，噪音打擾到人。,太晚了，噪音打扰到人。,,,
Vizinhos,cartao,5,,O elevador está avariado.,The elevator is out of order.,電梯壞了。,电梯坏了。,,,
Vizinhos,cartao,6,,Quando é a reunião de condomínio?,When is the building meeting?,業主大會是什麼時候？,业主大会是什么时候？,,,
Vizinhos,cartao,7,,Pode receber uma encomenda?,Can you take in a package?,可以幫我收包裹嗎？,可以帮我收包裹吗？,,,
Vizinhos,cartao,8,,Pode regar as minhas plantas?,Can you water my plants?,可以幫我澆花嗎？,可以帮我浇花吗？,,,
Vizinhos,cartao,9,,Posso deixar-lhe a chave?,Can I leave you my key?,鑰匙可以放您那嗎？,钥匙可以放您那吗？,,,
Vizinhos,cartao,10,,Onde fica a reciclagem?,Where's the recycling?,回收站在哪？,回收站在哪？,,,
Vizinhos,cartao,11,,Quando recolhem o lixo?,When is the trash collected?,垃圾什麼時候收？,垃圾什么时候收？,,,
Vizinhos,cartao,12,,Há obras no prédio?,Is there construction in the building?,大樓在施工嗎？,大楼在施工吗？,,,
Vizinhos,cartao,13,,Este lugar de estacionamento é seu?,Is this parking spot yours?,這個車位是您的嗎？,这个车位是您的吗？,,,
Vizinhos,cartao,14,,Posso pedir-lhe um favor?,Can I ask you a favor?,能請您幫個忙嗎？,能请您帮个忙吗？,,,
Vizinhos,cartao,15,,Obrigado pela ajuda.,Thanks for the help.,謝謝幫忙。,谢谢帮忙。,,,
Vizinhos,cartao,16,,A campainha não funciona.,The doorbell doesn't work.,門鈴壞了。,门铃坏了。,,,
Cabeleireiro e Barbeiro,vocabulario,1,,o cabeleireiro,hairdresser / hair salon,理髮師,理发师,Vou ao cabeleireiro amanhã.,我明天去理髮。,我明天去理发。
Cabeleireiro e Barbeiro,vocabulario,2,,o barbeiro,barber,男士理髮師,男士理发师,O barbeiro corta bem.,這位理髮師剪得好。,这位理发师剪得好。
Cabeleireiro e Barbeiro,vocabulario,3,,a barbearia,barbershop,理髮店,理发店,A barbearia é ali.,理髮店在那邊。,理发店在那边。
Cabeleireiro e Barbeiro,vocabulario,4,,o salão,salon,美髮沙龍,美发沙龙,O salão está cheio.,店裡客滿了。,店里客满了。
Cabeleireiro e Barbeiro,vocabulario,5,,a marcação,appointment,預約,预约,Tenho marcação às três.,我約了三點。,我约了三点。
Cabeleireiro e Barbeiro,vocabulario,6,,marcar,to book,預約,预约,Quero marcar para sábado.,我想預約週六。,我想预约周六。
Cabeleireiro e Barbeiro,vocabulario,7,,o corte,haircut,剪髮,剪发,O corte ficou ótimo.,這髮型剪得很好。,这发型剪得很好。
Cabeleireiro e Barbeiro,vocabulario,8,,cortar,to cut,剪,剪,Corta só um pouco.,只剪一點點。,只剪一点点。
Cabeleireiro e Barbeiro,vocabulario,9,,aparar,to trim,修剪,修剪,Só quero aparar as pontas.,我只想修髮尾。,我只想修发尾。
Cabeleireiro e Barbeiro,vocabulario,10,,as pontas,ends (of hair),髮尾,发尾,As pontas estão secas.,髮尾很乾。,发尾很干。
Cabeleireiro e Barbeiro,vocabulario,11,,curto,short,短,短,Prefiro o cabelo curto.,我喜歡短髮。,我喜欢短发。
Cabeleireiro e Barbeiro,vocabulario,12,,comprido,long,長,长,O cabelo está muito comprido.,頭髮太長了。,头发太长了。
Cabeleireiro e Barbeiro,vocabulario,13,,a franja,bangs / fringe,瀏海,刘海,A franja tapa-me os olhos.,瀏海遮到眼睛了。,刘海遮到眼睛了。
Cabeleireiro e Barbeiro,vocabulario,14,,o risco,parting,分線,分线,Faço o risco ao lado.,我旁分。,我旁分。
Cabeleireiro e Barbeiro,vocabulario,15,,a máquina,clippers,電剪,电剪,Usa a máquina dos lados.,兩側用電剪。,两侧用电剪。
Cabeleireiro e Barbeiro,vocabulario,16,,o número,clipper guard number,號數,号数,"Número três, por favor.",三號，麻煩了。,三号，麻烦了。
Cabeleireiro e Barbeiro,vocabulario,17,,a tesoura,scissors,剪刀,剪刀,"Em cima, só tesoura.",上面只用剪刀。,上面只用剪刀。
Cabeleireiro e Barbeiro,vocabulario,18,,lavar,to wash,洗,洗,Lavamos primeiro o cabelo.,我們先洗頭。,我们先洗头。
Cabeleireiro e Barbeiro,vocabulario,19,,secar,to blow-dry,吹乾,吹干,"Pode secar, por favor?",可以吹乾嗎？,可以吹干吗？
Cabeleireiro e Barbeiro,vocabulario,20,,o secador,hairdryer,吹風機,吹风机,O secador está quente.,吹風機很燙。,吹风机很烫。
Cabeleireiro e Barbeiro,vocabulario,21,,pentear,to comb / style,梳頭,梳头,"Penteia para trás, por favor.",請往後梳。,请往后梳。
Cabeleireiro e Barbeiro,vocabulario,22,,o penteado,hairstyle,髮型,发型,Gosto do teu penteado.,我喜歡你的髮型。,我喜欢你的发型。
Cabeleireiro e Barbeiro,vocabulario,23,,a barba,beard,鬍子,胡子,A barba cresce depressa.,鬍子長得快。,胡子长得快。
Cabeleireiro e Barbeiro,vocabulario,24,,fazer a barba,to shave,刮鬍子,刮胡子,Faço a barba em casa.,我在家刮鬍子。,我在家刮胡子。
Cabeleireiro e Barbeiro,vocabulario,25,,o bigode,mustache,小鬍子,小胡子,Deixe o bigode assim.,小鬍子就這樣留著。,小胡子就这样留着。
Cabeleireiro e Barbeiro,vocabulario,26,,pintar,to dye,染髮,染发,Quero pintar de castanho.,我想染成棕色。,我想染成棕色。
Cabeleireiro e Barbeiro,vocabulario,27,,a cor,color,顏色,颜色,Que cor prefere?,您想要什麼顏色？,您想要什么颜色？
Cabeleireiro e Barbeiro,vocabulario,28,,as madeixas,highlights,挑染,挑染,Fiz madeixas no verão.,我夏天做了挑染。,我夏天做了挑染。
Cabeleireiro e Barbeiro,vocabulario,29,,o tom,shade / tone,色調,色调,Quero um tom mais claro.,我想要淺一點的色調。,我想要浅一点的色调。
Cabeleireiro e Barbeiro,vocabulario,30,,claro,light (color),淺,浅,Prefiro um tom claro.,我喜歡淺色調。,我喜欢浅色调。
Cabeleireiro e Barbeiro,vocabulario,31,,escuro,dark (color),深,深,Pinto de castanho escuro.,我染深棕色。,我染深棕色。
Cabeleireiro e Barbeiro,vocabulario,32,,liso,straight (hair),直,直,O meu cabelo é liso.,我的頭髮是直的。,我的头发是直的。
Cabeleireiro e Barbeiro,vocabulario,33,,encaracolado,curly,捲,卷,Ela tem cabelo encaracolado.,她是捲髮。,她是卷发。
Cabeleireiro e Barbeiro,vocabulario,34,,o gel,hair gel,髮膠,发胶,Não uso gel.,我不用髮膠。,我不用发胶。
Cabeleireiro e Barbeiro,dialogo,1,B,Boa tarde! Tem marcação?,Good afternoon! Do you have an appointment?,午安！有預約嗎？,下午好！有预约吗？,,,
Cabeleireiro e Barbeiro,dialogo,2,A,Não. É preciso marcar?,No. Do I need to book?,沒有。需要預約嗎？,没有。需要预约吗？,,,
Cabeleireiro e Barbeiro,dialogo,3,B,"Hoje não, espere só dez minutos.","Not today, just wait ten minutes.",今天不用，等十分鐘就好。,今天不用，等十分钟就好。,,,
Cabeleireiro e Barbeiro,dialogo,4,A,"Está bem, eu espero.","Alright, I'll wait.",好，我等。,好，我等。,,,
Cabeleireiro e Barbeiro,dialogo,5,B,"Então, o que vamos fazer?","So, what are we doing today?",那今天想怎麼弄？,那今天想怎么弄？,,,
Cabeleireiro e Barbeiro,dialogo,6,A,"Queria cortar, mas não muito curto.","I'd like a cut, but not too short.",想剪髮，但別太短。,想剪发，但别太短。,,,
Cabeleireiro e Barbeiro,dialogo,7,B,Só aparar as pontas?,Just trim the ends?,只修髮尾嗎？,只修发尾吗？,,,
Cabeleireiro e Barbeiro,dialogo,8,A,"Sim, uns dois dedos. E a franja.","Yes, about two fingers. And the bangs.",對，大概兩指。瀏海也要。,对，大概两指。刘海也要。,,,
Cabeleireiro e Barbeiro,dialogo,9,B,Quer lavar primeiro?,Do you want a wash first?,要先洗頭嗎？,要先洗头吗？,,,
Cabeleireiro e Barbeiro,dialogo,10,A,"Sim, por favor.","Yes, please.",好，麻煩了。,好，麻烦了。,,,
Cabeleireiro e Barbeiro,dialogo,11,B,"Dos lados, uso a máquina?",Shall I use the clippers on the sides?,兩側用電剪嗎？,两侧用电剪吗？,,,
Cabeleireiro e Barbeiro,dialogo,12,A,"Pode ser, número três.","Sure, number three.",可以，三號。,可以，三号。,,,
Cabeleireiro e Barbeiro,dialogo,13,B,"E a barba, aparamos?","And the beard, shall we trim it?",鬍子要修嗎？,胡子要修吗？,,,
Cabeleireiro e Barbeiro,dialogo,14,A,"Sim, mas deixe o bigode.","Yes, but leave the mustache.",要，但小鬍子留著。,要，但小胡子留着。,,,
Cabeleireiro e Barbeiro,dialogo,15,B,Pronto! O que acha?,Done! What do you think?,好了！您覺得呢？,好了！您觉得呢？,,,
Cabeleireiro e Barbeiro,dialogo,16,A,Ficou ótimo. Quanto é?,It looks great. How much is it?,很好看。多少錢？,很好看。多少钱？,,,
Cabeleireiro e Barbeiro,cartao,1,,Queria marcar um corte.,I'd like to book a haircut.,我想預約剪髮。,我想预约剪发。,,,
Cabeleireiro e Barbeiro,cartao,2,,É preciso marcação?,Do I need an appointment?,需要預約嗎？,需要预约吗？,,,
Cabeleireiro e Barbeiro,cartao,3,,Só aparar as pontas.,Just trim the ends.,只修髮尾。,只修发尾。,,,
Cabeleireiro e Barbeiro,cartao,4,,"Não muito curto, por favor.","Not too short, please.",別剪太短。,别剪太短。,,,
Cabeleireiro e Barbeiro,cartao,5,,Uns dois dedos.,About two fingers' worth.,大概兩指長。,大概两指长。,,,
Cabeleireiro e Barbeiro,cartao,6,,Corte a franja também.,Cut the bangs too.,瀏海也剪一下。,刘海也剪一下。,,,
Cabeleireiro e Barbeiro,cartao,7,,Máquina número três dos lados.,Number three clippers on the sides.,兩側用三號電剪。,两侧用三号电剪。,,,
Cabeleireiro e Barbeiro,cartao,8,,Quero mudar de visual.,I want a new look.,我想換造型。,我想换造型。,,,
Cabeleireiro e Barbeiro,cartao,9,,Queria pintar o cabelo.,I'd like to dye my hair.,我想染髮。,我想染发。,,,
Cabeleireiro e Barbeiro,cartao,10,,Um tom mais claro.,A lighter shade.,淺一點的顏色。,浅一点的颜色。,,,
Cabeleireiro e Barbeiro,cartao,11,,Pode aparar a barba?,Can you trim my beard?,可以修鬍子嗎？,可以修胡子吗？,,,
Cabeleireiro e Barbeiro,cartao,12,,Deixe o bigode.,Leave the mustache.,小鬍子留著。,小胡子留着。,,,
Cabeleireiro e Barbeiro,cartao,13,,"Sem gel, obrigado.","No gel, thanks.",不用髮膠，謝謝。,不用发胶，谢谢。,,,
Cabeleireiro e Barbeiro,cartao,14,,Pode secar?,Can you blow-dry it?,可以吹乾嗎？,可以吹干吗？,,,
Cabeleireiro e Barbeiro,cartao,15,,Assim está perfeito.,It's perfect like this.,這樣就很好。,这样就很好。,,,
Cabeleireiro e Barbeiro,cartao,16,,Quanto custa o corte?,How much is the haircut?,剪髮多少錢？,剪发多少钱？,,,
Farmácia,vocabulario,1,,a farmácia,pharmacy,藥局,药店,A farmácia fecha às sete.,藥局七點關門。,药店七点关门。
Farmácia,vocabulario,2,,a farmácia de serviço,on-duty pharmacy,值班藥局,值班药店,Procura a farmácia de serviço.,找一下值班藥局。,找一下值班药店。
Farmácia,vocabulario,3,,o farmacêutico,pharmacist,藥劑師,药剂师,O farmacêutico explicou tudo.,藥劑師都解釋清楚了。,药剂师都解释清楚了。
Farmácia,vocabulario,4,,a receita,prescription,處方,处方,É preciso receita?,需要處方嗎？,需要处方吗？
Farmácia,vocabulario,5,,o medicamento,medicine,藥,药,Tomo o medicamento à noite.,我晚上吃藥。,我晚上吃药。
Farmácia,vocabulario,6,,o genérico,generic drug,學名藥,仿制药,O genérico é mais barato.,學名藥比較便宜。,仿制药比较便宜。
Farmácia,vocabulario,7,,o comprimido,pill,藥片,药片,Tomo um comprimido por dia.,我一天吃一顆藥。,我一天吃一颗药。
Farmácia,vocabulario,8,,o xarope,syrup,糖漿,糖浆,O xarope é para a tosse.,這糖漿是止咳的。,这糖浆是止咳的。
Farmácia,vocabulario,9,,a pomada,ointment,藥膏,药膏,A pomada é para a pele.,這藥膏是擦皮膚的。,这药膏是擦皮肤的。
Farmácia,vocabulario,10,,as gotas,drops,滴劑,滴剂,Duas gotas em cada olho.,每隻眼睛滴兩滴。,每只眼睛滴两滴。
Farmácia,vocabulario,11,,a dose,dose,劑量,剂量,Qual é a dose certa?,正確劑量是多少？,正确剂量是多少？
Farmácia,vocabulario,12,,tomar,to take (medicine),服用,服用,Tome sempre com água.,一定要配水服用。,一定要配水服用。
Farmácia,vocabulario,13,,em jejum,on an empty stomach,空腹,空腹,Tome este em jejum.,這個要空腹吃。,这个要空腹吃。
Farmácia,vocabulario,14,,às refeições,with meals,隨餐,随餐,Um comprimido às refeições.,隨餐吃一顆。,随餐吃一颗。
Farmácia,vocabulario,15,,a dor,pain,疼痛,疼痛,Tenho uma dor aqui.,我這裡痛。,我这里痛。
Farmácia,vocabulario,16,,a dor de cabeça,headache,頭痛,头痛,A dor de cabeça passou.,頭痛好了。,头痛好了。
Farmácia,vocabulario,17,,a dor de garganta,sore throat,喉嚨痛,喉咙痛,Tenho dor de garganta.,我喉嚨痛。,我喉咙痛。
Farmácia,vocabulario,18,,a febre,fever,發燒,发烧,Ele tem febre alta.,他發高燒。,他发高烧。
Farmácia,vocabulario,19,,o termómetro,thermometer,體溫計,体温计,Compra um termómetro novo.,買個新的體溫計。,买个新的体温计。
Farmácia,vocabulario,20,,a tosse,cough,咳嗽,咳嗽,A tosse não passa.,咳嗽好不了。,咳嗽好不了。
Farmácia,vocabulario,21,,a constipação,cold (illness),感冒,感冒,Apanhei uma constipação.,我感冒了。,我感冒了。
Farmácia,vocabulario,22,,a gripe,flu,流感,流感,A gripe já passou.,流感已經好了。,流感已经好了。
Farmácia,vocabulario,23,,a alergia,allergy,過敏,过敏,Tenho alergia ao pólen.,我對花粉過敏。,我对花粉过敏。
Farmácia,vocabulario,24,,o anti-histamínico,antihistamine,抗組織胺,抗组胺药,Tomei um anti-histamínico.,我吃了抗組織胺。,我吃了抗组胺药。
Farmácia,vocabulario,25,,o analgésico,painkiller,止痛藥,止痛药,Este analgésico é forte.,這止痛藥很強。,这止痛药很强。
Farmácia,vocabulario,26,,o antibiótico,antibiotic,抗生素,抗生素,O antibiótico é com receita.,抗生素要處方。,抗生素要处方。
Farmácia,vocabulario,27,,a vitamina,vitamin,維他命,维生素,Tomo vitaminas no inverno.,我冬天吃維他命。,我冬天吃维生素。
Farmácia,vocabulario,28,,o penso rápido,band-aid,OK繃,创可贴,Preciso de um penso rápido.,我需要OK繃。,我需要创可贴。
Farmácia,vocabulario,29,,o desinfetante,disinfectant,消毒液,消毒液,Põe desinfetante na ferida.,在傷口上抹消毒液。,在伤口上抹消毒液。
Farmácia,vocabulario,30,,a máscara,mask,口罩,口罩,Levo sempre uma máscara.,我總是帶著口罩。,我总是带着口罩。
Farmácia,vocabulario,31,,o teste,test,檢測,检测,Fiz um teste rápido.,我做了快篩。,我做了快筛。
Farmácia,vocabulario,32,,a tensão,blood pressure,血壓,血压,A minha tensão está alta.,我血壓偏高。,我血压偏高。
Farmácia,vocabulario,33,,medir,to measure,量,量,Vou medir a febre.,我來量一下體溫。,我来量一下体温。
Farmácia,vocabulario,34,,o protetor solar,sunscreen,防曬乳,防晒霜,Usa protetor solar na praia.,在海灘要擦防曬。,在海滩要擦防晒。
Farmácia,vocabulario,35,,o efeito secundário,side effect,副作用,副作用,Tem efeitos secundários?,有副作用嗎？,有副作用吗？
Farmácia,vocabulario,36,,grávida,pregnant,懷孕,怀孕,Ela está grávida.,她懷孕了。,她怀孕了。
Farmácia,dialogo,1,B,"Boa tarde, o que deseja?","Good afternoon, how can I help?",午安，需要什麼？,下午好，需要什么？,,,
Farmácia,dialogo,2,A,Tenho dor de garganta e tosse.,I have a sore throat and a cough.,我喉嚨痛還咳嗽。,我喉咙痛还咳嗽。,,,
Farmácia,dialogo,3,B,Tem febre?,Do you have a fever?,有發燒嗎？,有发烧吗？,,,
Farmácia,dialogo,4,A,"Um pouco, ontem à noite.","A little, last night.",有一點，昨晚燒的。,有一点，昨晚烧的。,,,
Farmácia,dialogo,5,B,Parece uma constipação. Tem alergias?,Sounds like a cold. Any allergies?,像是感冒。有過敏嗎？,像是感冒。有过敏吗？,,,
Farmácia,dialogo,6,A,Não que eu saiba.,Not that I know of.,據我所知沒有。,据我所知没有。,,,
Farmácia,dialogo,7,B,Leve este xarope e estes comprimidos.,Take this syrup and these pills.,拿這瓶糖漿和這些藥片。,拿这瓶糖浆和这些药片。,,,
Farmácia,dialogo,8,A,Como tomo os comprimidos?,How do I take the pills?,藥片怎麼吃？,药片怎么吃？,,,
Farmácia,dialogo,9,B,"Um de oito em oito horas, às refeições.","One every eight hours, with meals.",每八小時一片，隨餐。,每八小时一片，随餐。,,,
Farmácia,dialogo,10,A,E o xarope?,And the syrup?,糖漿呢？,糖浆呢？,,,
Farmácia,dialogo,11,B,"Duas vezes por dia, manhã e noite.","Twice a day, morning and night.",一天兩次，早晚。,一天两次，早晚。,,,
Farmácia,dialogo,12,A,Este medicamento precisa de receita?,Does this medicine need a prescription?,這藥要處方嗎？,这药要处方吗？,,,
Farmácia,dialogo,13,B,"Não, é de venda livre.","No, it's over the counter.",不用，是非處方藥。,不用，是非处方药。,,,
Farmácia,dialogo,14,A,Há genérico? É mais barato?,Is there a generic? Is it cheaper?,有學名藥嗎？便宜點嗎？,有仿制药吗？便宜点吗？,,,
Farmácia,dialogo,15,B,"Há, sim. Custa quatro euros.","Yes, there is. It's four euros.",有，四歐元。,有，四欧元。,,,
Farmácia,dialogo,16,A,E se não melhorar?,And if I don't get better?,要是沒好轉呢？,要是没好转呢？,,,
Farmácia,dialogo,17,B,"Em três dias sem melhoras, vá ao médico.","If you're no better in three days, see a doctor.",三天沒好就去看醫生。,三天没好就去看医生。,,,
Farmácia,cartao,1,,Tenho dor de cabeça.,I have a headache.,我頭痛。,我头痛。,,,
Farmácia,cartao,2,,Tenho dor de garganta.,I have a sore throat.,我喉嚨痛。,我喉咙痛。,,,
Farmácia,cartao,3,,Tenho tosse e febre.,I have a cough and a fever.,我咳嗽又發燒。,我咳嗽又发烧。,,,
Farmácia,cartao,4,,Estou constipado.,I have a cold.,我感冒了。,我感冒了。,,,
Farmácia,cartao,5,,Tenho alergia.,I have an allergy.,我過敏。,我过敏。,,,
Farmácia,cartao,6,,Preciso de algo para a dor.,I need something for pain.,我需要止痛的藥。,我需要止痛的药。,,,
Farmácia,cartao,7,,É preciso receita?,Do I need a prescription?,需要處方嗎？,需要处方吗？,,,
Farmácia,cartao,8,,Há genérico?,Is there a generic?,有學名藥嗎？,有仿制药吗？,,,
Farmácia,cartao,9,,Como se toma?,How do I take it?,怎麼服用？,怎么服用？,,,
Farmácia,cartao,10,,Quantas vezes por dia?,How many times a day?,一天幾次？,一天几次？,,,
Farmácia,cartao,11,,Em jejum ou às refeições?,On an empty stomach or with meals?,空腹還是隨餐？,空腹还是随餐？,,,
Farmácia,cartao,12,,Tem efeitos secundários?,Does it have side effects?,有副作用嗎？,有副作用吗？,,,
Farmácia,cartao,13,,Estou grávida. Posso tomar?,I'm pregnant. Can I take it?,我懷孕了，能吃嗎？,我怀孕了，能吃吗？,,,
Farmácia,cartao,14,,Pode medir-me a tensão?,Can you take my blood pressure?,可以幫我量血壓嗎？,可以帮我量血压吗？,,,
Farmácia,cartao,15,,Onde é a farmácia de serviço?,Where's the on-duty pharmacy?,值班藥局在哪？,值班药店在哪？,,,
Farmácia,cartao,16,,Queria pensos rápidos.,I'd like some band-aids.,我要OK繃。,我要创可贴。,,,
